"OTU" "name" "all" "AF_A" "AF_B" "AM_A" "AM_B" "AQ_A" "AQ_B" "AX_A" "AX_B" "BB_A" "BB_B" "BF_A" "BF_B" "BI_A" "BI_B" "BM_A" "BM_B" "BU_A" "BU_B" "BX_A" "BX_B"
"94" 94 "BI_A_11378_3_257*" 3 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0
"95" 95 "BI_B_21080_3_34*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"96" 96 "BI_A_32661_3_150*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"97" 97 "BU_B_167246_4_471*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"98" 98 "BX_A_1603_3_909*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"99" 99 "BU_B_162637_4_563*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"100" 100 "BU_A_119988_4_234*" 4 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0
"101" 101 "BI_B_17178_3_317*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"102" 102 "BI_B_14170_3_614*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"103" 103 "BI_A_22028_3_177*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"104" 104 "BI_B_42409_3_783*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"105" 105 "BI_B_15676_3_695*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"106" 106 "BI_B_14694_3_621*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"107" 107 "BU_B_158556_4_30*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"108" 108 "BU_B_169607_4_997*" 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0
"109" 109 "BI_B_30132_3_61*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"110" 110 "BU_A_101698_4_514*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"111" 111 "BX_A_5682_3_231*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"112" 112 "BI_B_15624_3_116*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"113" 113 "BI_B_46369_3_560*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"114" 114 "BI_A_28192_3_730*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"115" 115 "BI_B_7850_3_396*" 7 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 1
"116" 116 "BI_A_19992_3_933*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"117" 117 "BI_A_15391_3_821*" 2 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"118" 118 "BI_A_17312_3_58*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"119" 119 "BI_A_22535_3_11*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"120" 120 "BU_A_109131_4_969*" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
"121" 121 "BI_B_1195_3_690*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"122" 122 "BI_A_299_3_563*" 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0
"123" 123 "BU_A_102849_4_62*" 3 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0
"124" 124 "BI_A_8449_3_939*" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"125" 125 "BI_B_20496_3_140*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"126" 126 "BI_B_19788_3_645*" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
